Turn,Depth 4,Depth 3,Depth 2,Depth 5,Depth 1,,,,,
1,82,31,12,232,3,,,Depth,Mean Time,Max Time
2,145,32,13,262,4,,,1,10.73333333,16
3,769,80,25,951,7,,,2,52.06666667,114
4,465,181,28,1838,7,,,3,224.4333333,634
5,1050,162,60,3864,11,,,4,708.9354839,1585
6,1585,306,33,3052,9,,,5,1791.133333,4095
7,1409,220,39,3470,12,,,,,
8,665,187,38,4095,12,,,,,
9,659,172,50,3424,13,,,,,
10,1041,303,82,2541,10,,,,,
11,1191,511,83,3473,12,,,,,
12,965,634,92,3012,13,,,,,
13,539,395,108,2086,10,,,,,
14,777,365,114,2833,13,,,,,
15,1494,300,78,1462,14,,,,,
16,724,231,93,3721,12,,,,,
17,1043,431,60,3116,14,,,,,
18,1130,239,55,1672,11,,,,,
19,919,353,66,2942,15,,,,,
20,938,286,45,987,15,,,,,
21,923,227,73,736,15,,,,,
22,947,308,69,470,15,,,,,
23,478,282,68,917,12,,,,,
24,302,203,56,733,12,,,,,
25,377,117,41,588,16,,,,,
26,554,63,31,841,11,,,,,
27,486,59,22,265,11,,,,,
28,167,29,18,116,8,,,,,
29,110,15,5,26,3,,,,,
30,30,11,5,9,2,,,,,
31,13,,,,,,,,,
